"Kingdom","Class","Order","Family","Genus","Species","Meiosis.Type","Achiasmatic.Sex","Diploid.Number","Sex.Chromosome.System","Simplified.SCS","Citation","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","GenusSpecies","NCBI_Standardized_Name"
"Animalia","Actinopterygii","Cyprinodontiformes","Poecilidae","Poecilia","formosa","Asynaptic Sex Chromosomes","Female","46","","","Dedukh, D., Da Cruz, I., Kneitz, S., Marta, A., Ormanns, J., Tichopád, T., Lu, Y., Alsheimer, M., Janko, K. and Schartl, M., 2022. Achiasmatic meiosis in the unisexual Amazon molly, Poecilia formosa. Chromosome Research, 30(4), pp.443-457.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poecilia formosa","Poecilia formosa"
"Animalia","Amphibia","Anura","Glandirana","Rana","esculenta","Asynaptic Sex Chromosomes","","26","","","Bucci, S., Ragghianti, M., Mancino, G., Berger, L., Hotz, H. and Uzzell, T., 1990. Lampbrush and mitotic chromosomes of the hemiclonally reproducing hybrid Rana esculenta and its parental species. Journal of Experimental Zoology, 255(1), pp.37-56.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rana esculenta","Rana esculenta"
"Animalia","Amphibia","Anura","Glandirana","Rana","rugosa","Achiasmatic Sex Chromosomes","Female","26","ZW","ZW","Miura, I., Ohtani, H., Kashiwagi, A., Hanada, H. and Nakamura, M., 1996. Structural differences between XX and ZW sex lampbrush chromosomes in Rana rugosa females (Anura: Ranidae). Chromosoma, 105(4), pp.237-241.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rana rugosa","Rana rugosa"
"Animalia","Amphibia","Anura","Glandirana","Rana","rugosa","Achiasmatic Sex Chromosomes","Male","26","XY","XY","Katsura, Y., Shaji, D., Matsubara, K., Kajitani, R., Ezaz, T., & Miura, I. (2026). Shared Origin of Y and Z Chromosomes in the Turnover of XY and ZW Systems in the Frog Glandirana rugosa. Biomolecules, 16(2), 281. https://doi.org/10.3390/biom16020281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rana rugosa","Rana rugosa"
"Animalia","Amphibia","Caudata","Salamandridae","Triturus","cristatus ","Asynaptic Sex Chromosomes","Both","24","XY","XY","Sims, S.H., 1984. Some aspects of the cytology of European newts (genus Triturus). University of Leicester (United Kingdom).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Triturus cristatus","Triturus cristatus"
"Animalia","Amphibia","Caudata","Salamandridae","Triturus","cristatus carnifex","Asynaptic Sex Chromosomes","Female","","","","Sims, S.H., Macgregor, H.C., Pellatt, P.S. and Horner, H.A., 1984. Chromosome 1 in crested and marbled newts (Triturus) An extraordinary case of heteromorphism and independent chromosome evolution. Chromosoma, 89(3), pp.169-185.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Triturus cristatus carnifex","Triturus cristatus carnifex"
"Animalia","Amphibia","Caudata","Salamandridae","Triturus","marmoratus","Asynaptic Sex Chromosomes","Female","","","","Sims, S.H., Macgregor, H.C., Pellatt, P.S. and Horner, H.A., 1984. Chromosome 1 in crested and marbled newts (Triturus) An extraordinary case of heteromorphism and independent chromosome evolution. Chromosoma, 89(3), pp.169-185.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Triturus marmoratus","Triturus marmoratus"
"Animalia","Amphibia","Caudata","Salamandridae","Triturus","marmoratus","Asynaptic Sex Chromosomes","Both","24","XY","XY","Sims, S.H., 1984. Some aspects of the cytology of European newts (genus Triturus). University of Leicester (United Kingdom).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Triturus marmoratus","Triturus marmoratus"
"Animalia","Arachnida","Araneae","Antrodiaetidae","Aliatypus","californicus","Achiasmatic Meiosis","Male","28","X0","XO","Král, J., Kořínková, T., Krkavcová, L., Musilová, J., Forman, M., Herrera, I.M.Á., Haddad, C.R., Vítková, M., Henriques, S., Vargas, J.G.P. and Hedin, M., 2013. Evolution of karyotype, sex chromosomes, and meiosis in mygalomorph spiders (Araneae: Mygalomorphae). Biological Journal of the Linnean Society, 109(2), pp.377-408.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aliatypus californicus","Aliatypus californicus"
"Animalia","Arachnida","Araneae","Diguetidae","Diguetia","albolineata","Achiasmatic Meiosis","Male ","20","XY","XY","Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diguetia albolineata","Diguetia albolineata"
"Animalia","Arachnida","Araneae","Diguetidae","Diguetia","canities","Achiasmatic Meiosis","Male ","16","XY","XY","Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diguetia canities","Diguetia canities"
"Animalia","Arachnida","Araneae","Drymusidae","Drymusa","capensis","Achiasmatic Meiosis","Male ","38","X1X2Y","Complex XY","Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drymusa capensis","Drymusa capensis"
"Animalia","Arachnida","Araneae","Dysderidae","Dysdera","crocota","Achiasmatic Meiosis","Male","10","XO","XO","Gil, S.G.R., Mola, L.M., Papeschi, A.G. and Scioscia, C.L., 2002. Cytogenetic heterogeneity in common haplogyne spiders from Argentina (Arachnida, Araneae). The Journal of Arachnology, 30(1), pp.47-56.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dysdera crocota","Dysdera crocota"
"Animalia","Arachnida","Araneae","Euagridae","Euagrus","lynceus","Achiasmatic Meiosis","Male","60","X1X2X3X4X50","Complex XY","Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Euagrus lynceus","Euagrus lynceus"
"Animalia","Arachnida","Araneae","Filistatidae","Filistata ","insidiatrix","Achiasmatic Meiosis","Male ","34","X1X2Y","Complex XY","Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Filistata  insidiatrix","Filistata  insidiatrix"
"Animalia","Arachnida","Araneae","Hypochilidae","Hypochilus ","pococki","Achiasmatic Meiosis","Male ","","X1X2Y","Complex XY","Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hypochilus  pococki","Hypochilus  pococki"
"Animalia","Arachnida","Araneae","Pholcidae","Holocnemus ","caudatus","Achiasmatic Meiosis","Male ","24","X0","XO","Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holocnemus  caudatus","Holocnemus  caudatus"
"Animalia","Arachnida","Araneae","Pholcidae","Pholcus ","phalangioides","Achiasmatic Meiosis","Male ","26","X1X2Y","Complex XY","Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pholcus  phalangioides","Pholcus  phalangioides"
"Animalia","Arachnida","Araneae","Pholcidae","Spermophora"," senoculata","Achiasmatic Meiosis","Male ","26","X1X2Y","Complex XY","Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spermophora  senoculata","Spermophora  senoculata"
"Animalia","Arachnida","Araneae","Sicariidae","Loxosceles"," rufescens","Achiasmatic Meiosis","Male ","22","X1X2Y","Complex XY","Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Loxosceles  rufescens","Loxosceles  rufescens"
"Animalia","Arachnida","Araneae","Sicariidae","Loxosceles","intermedia","Achiasmatic Meiosis","Male","24","XY","XY","Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n♂= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Loxosceles intermedia","Loxosceles intermedia"
"Animalia","Arachnida","Araneae","Sicariidae","Loxosceles","laeta","Achiasmatic Meiosis","Male","24","XY","XY","Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n♂= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Loxosceles laeta","Loxosceles laeta"
"Animalia","Arachnida","Araneae","Sicariidae","Loxosceles","reclusa","Achiasmatic Meiosis","Male","18","XY","XY","Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n♂= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Loxosceles reclusa","Loxosceles reclusa"
"Animalia","Arachnida","Araneae","Sicariidae","Loxosceles","rufescens","Achiasmatic Meiosis","Male","22","XY","XY","Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n♂= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Loxosceles rufescens","Loxosceles rufescens"
"Animalia","Arachnida","Araneae","Sicariidae","Loxosceles","rufipes","Achiasmatic Meiosis","Male","20","XY","XY","Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n♂= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Loxosceles rufipes","Loxosceles rufipes"
"Animalia","Arachnida","Araneae","Sicariidae","Loxosceles","spinulosa","Achiasmatic Meiosis","Male","20","XY","XY","Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n♂= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Loxosceles spinulosa","Loxosceles spinulosa"
"Animalia","Arachnida","Araneae","Sicariidae","Loxosceles ","spinulosa","Achiasmatic Meiosis","Male ","20","X1X2Y","Complex XY","Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Loxosceles  spinulosa","Loxosceles  spinulosa"
"Animalia","Arachnida","Pseudoscorpines","Atemnidae","Atemnus","politus","Achiasmatic Sex Chromosomes","Male","96","XO","XO","Šťáhlavský, F., Král, J., Harvey, M.S. and Haddad, C.R., 2012. The first cytogenetic characterization of atemnids: pseudoscorpions with the highest chromosome numbers (Arachnida: Pseudoscorpiones). Cytogenetic and Genome Research, 137(1), pp.22-30.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atemnus politus","Atemnus politus"
"Animalia","Arachnida","Pseudoscorpionida","Chthoniidae ","Chthonius ","alpicola","Achiasmatic Meiosis","Male","22","XO","XO","Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chthonius  alpicola","Chthonius  alpicola"
"Animalia","Arachnida","Pseudoscorpionida","Chthoniidae ","Chthonius ","boldorii","Achiasmatic Meiosis","Male","36","XO","XO","Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chthonius  boldorii","Chthonius  boldorii"
"Animalia","Arachnida","Pseudoscorpionida","Chthoniidae ","Chthonius ","carinthiacus","Achiasmatic Meiosis","Male","36","XO","XO","Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chthonius  carinthiacus","Chthonius  carinthiacus"
"Animalia","Arachnida","Pseudoscorpionida","Chthoniidae ","Chthonius ","diophthalmus ","Achiasmatic Meiosis","Male","34","XO","XO","Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chthonius  diophthalmus","Chthonius  diophthalmus"
